ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
236010_at	1.05e-11	3.52e-16	-12.10357	26.539631	-3.320774		
201695_s_at	1.31e-11	8.78e-16	11.801018	25.657968	4.9601019	PNP	purine nucleoside phosphorylase
207175_at	2.65e-11	2.66e-15	-11.439335	24.587278	-7.6223658	ADIPOQ	adiponectin, C1Q and collagen domain containing
204460_s_at	5.85e-11	9.83e-15	11.019904	23.322929	3.4636671	RAD1	RAD1 checkpoint DNA exonuclease
218073_s_at	5.85e-11	9.94e-15	11.016131	23.311447	3.4624151	NDC1	NDC1 transmembrane nucleoporin
234675_x_at	5.85e-11	1.17e-14	-10.963335	23.150553	-2.4597665		
209218_at	7.57e-11	1.77e-14	10.832558	22.750368	4.3765984	SQLE	squalene epoxidase
202058_s_at	7.79e-11	2.09e-14	10.78149	22.593467	3.2267158	KPNA1	karyopherin subunit alpha 1
220232_at	8.59e-11	2.59e-14	-10.713687	22.384599	-3.5694474	SCD5	stearoyl-CoA desaturase 5
201399_s_at	1.07e-10	3.66e-14	10.604788	22.047831	4.1863848	TRAM1	translocation associated membrane protein 1
201663_s_at	1.07e-10	4.66e-14	10.529564	21.814267	5.3025516	SMC4	structural maintenance of chromosomes 4
218252_at	1.07e-10	4.75e-14	10.523551	21.795566	3.3133669	CKAP2	cytoskeleton associated protein 2
213350_at	1.07e-10	5.27e-14	-10.491229	21.694949	-2.5385439	RPS11	ribosomal protein S11
224247_s_at	1.07e-10	5.36e-14	10.48582	21.678098	2.3286948	MRPS10	mitochondrial ribosomal protein S10
218302_at	1.07e-10	5.73e-14	10.464895	21.612873	3.5890733	PSENEN	presenilin enhancer gamma-secretase subunit
212271_at	1.07e-10	5.74e-14	10.464604	21.611965	3.4885585	MAPK1	mitogen-activated protein kinase 1
201490_s_at	1.12e-10	6.55e-14	10.423427	21.483436	4.0752495	PPIF	peptidylprolyl isomerase F
218782_s_at	1.12e-10	7.93e-14	10.364145	21.297997	5.2975099	ATAD2	ATPase family, AAA domain containing 2
1558048_x_at	1.12e-10	7.95e-14	-10.363076	21.29465	-4.8528539		
224159_x_at	1.12e-10	8.30e-14	-10.349751	21.252902	-3.0025211	TRIM4	tripartite motif containing 4
229839_at	1.12e-10	8.52e-14	-10.341749	21.227822	-5.6801072	SCARA5	scavenger receptor class A member 5
211672_s_at	1.12e-10	8.63e-14	10.337767	21.215336	3.8483816	ARPC4-TTLL3///ARPC4	ARPC4-TTLL3 readthrough///actin related protein 2/3 complex subunit 4
206093_x_at	1.12e-10	8.64e-14	-10.337252	21.213722	-5.8575901	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
238701_x_at	1.27e-10	1.02e-13	-10.286032	21.052945	-2.429326	COLCA1	colorectal cancer associated 1
223229_at	1.27e-10	1.10e-13	10.262741	20.97972	5.0801749	UBE2T	ubiquitin conjugating enzyme E2 T
224061_at	1.27e-10	1.13e-13	-10.253691	20.951249	-3.5097646	INMT	indolethylamine N-methyltransferase
206323_x_at	1.27e-10	1.15e-13	-10.249382	20.93769	-2.512124	OPHN1	oligophrenin 1
200890_s_at	1.29e-10	1.21e-13	10.233302	20.887067	2.798879	SSR1	signal sequence receptor subunit 1
214845_s_at	1.38e-10	1.34e-13	10.202586	20.790271	4.1153047	CALU	calumenin
222442_s_at	1.41e-10	1.45e-13	10.177181	20.710119	2.8494292	ARL8B	ADP ribosylation factor like GTPase 8B
1554679_a_at	1.41e-10	1.49e-13	10.17003	20.687545	5.0690403	LAPTM4B	lysosomal protein transmembrane 4 beta
201971_s_at	1.41e-10	1.51e-13	10.164639	20.67052	4.3826185	ATP6V1A	ATPase H+ transporting V1 subunit A
202129_s_at	1.46e-10	1.62e-13	10.144275	20.606176	3.0806192	RIOK3	RIO kinase 3
216153_x_at	1.54e-10	1.79e-13	-10.113575	20.509077	-2.2068017	RECK	reversion inducing cysteine rich protein with kazal motifs
211565_at	1.54e-10	1.80e-13	-10.111199	20.501558	-4.9929548	SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3
216333_x_at	1.55e-10	1.93e-13	-10.090248	20.435213	-5.9266819	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
224376_s_at	1.55e-10	2.01e-13	10.076954	20.393086	2.1098674	TGIF2-C20orf24///C20orf24	TGIF2-C20orf24 readthrough///chromosome 20 open reading frame 24
233817_at	1.55e-10	2.07e-13	-10.068855	20.367412	-2.1343548		
203360_s_at	1.55e-10	2.07e-13	10.067523	20.363188	2.0103598	GJA9-MYCBP///GJA9///MYCBP	GJA9-MYCBP readthrough///gap junction protein alpha 9///MYC binding protein
201292_at	1.55e-10	2.08e-13	10.066623	20.360334	5.3851294	TOP2A	topoisomerase (DNA) II alpha
222393_s_at	1.62e-10	2.23e-13	10.045467	20.293221	3.7566341	NAA50	N(alpha)-acetyltransferase 50, NatE catalytic subunit
204026_s_at	1.80e-10	2.53e-13	10.00689	20.170692	4.5220452	ZWINT	ZW10 interacting kinetochore protein
201898_s_at	1.85e-10	2.73e-13	9.983619	20.096685	2.2659729	UBE2A	ubiquitin conjugating enzyme E2 A
1553535_a_at	1.85e-10	2.81e-13	9.97446	20.067541	2.820529	RANGAP1	Ran GTPase activating protein 1
233208_x_at	1.85e-10	2.85e-13	9.970442	20.05475	2.7155168	CPSF2	cleavage and polyadenylation specific factor 2
201688_s_at	1.85e-10	2.86e-13	9.969133	20.050581	5.3815616	TPD52	tumor protein D52
212009_s_at	1.85e-10	2.91e-13	9.963794	20.033585	4.8447059	STIP1	stress induced phosphoprotein 1
206742_at	1.86e-10	2.99e-13	-9.955149	20.006052	-4.1604527	PIR-FIGF///FIGF	PIR-FIGF readthrough///c-fos induced growth factor
222385_x_at	1.97e-10	3.23e-13	9.932544	19.934013	4.2837365	SEC61A1	Sec61 translocon alpha 1 subunit
43427_at	1.97e-10	3.29e-13	-9.926267	19.914	-5.6391963	ACACB	acetyl-CoA carboxylase beta
222458_s_at	2.03e-10	3.47e-13	9.910101	19.862429	3.8037179	AKIRIN1	akirin 1
218039_at	2.05e-10	3.57e-13	9.901265	19.834226	5.0011236	NUSAP1	nucleolar and spindle associated protein 1
236359_at	2.14e-10	3.80e-13	-9.882309	19.773693	-3.8976487	SCN4B	sodium voltage-gated channel beta subunit 4
213451_x_at	2.23e-10	4.09e-13	-9.860004	19.702405	-5.6092879	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
210559_s_at	2.23e-10	4.10e-13	9.859415	19.700522	5.057714	CDK1	cyclin dependent kinase 1
222981_s_at	2.28e-10	4.28e-13	9.846218	19.658314	2.7919471	RAB10	RAB10, member RAS oncogene family
225468_at	2.31e-10	4.40e-13	9.837796	19.631365	3.9717534	PATL1	PAT1 homolog 1, processing body mRNA decay factor
217919_s_at	2.34e-10	4.55e-13	9.827566	19.598621	3.9303276	MRPL42	mitochondrial ribosomal protein L42
204170_s_at	2.44e-10	4.90e-13	9.805116	19.526716	4.4252912	CKS2	CDC28 protein kinase regulatory subunit 2
49452_at	2.44e-10	4.95e-13	-9.802004	19.516741	-6.3006217	ACACB	acetyl-CoA carboxylase beta
200712_s_at	2.44e-10	4.99e-13	9.79957	19.508941	3.6059627	MAPRE1	microtubule associated protein RP/EB family member 1
224012_at	2.77e-10	5.75e-13	-9.756501	19.370786	-3.9385443	ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A1	ankyrin repeat domain 20 family member A4///ankyrin repeat domain 20 family member A2///ankyrin repeat domain 20 family member A3///ankyrin repeat domain 20 family member A1
219787_s_at	2.77e-10	5.85e-13	9.751625	19.355131	4.1267273	ECT2	epithelial cell transforming 2
201291_s_at	2.81e-10	6.12e-13	9.737927	19.311134	5.9139148	TOP2A	topoisomerase (DNA) II alpha
244876_at	2.81e-10	6.21e-13	-9.733583	19.297177	-3.9337788		
204092_s_at	2.81e-10	6.21e-13	9.733514	19.296955	4.2595722	AURKA	aurora kinase A
220725_x_at	3.07e-10	6.89e-13	-9.701745	19.194806	-2.4411656	DNAH3	dynein axonemal heavy chain 3
1554572_a_at	3.07e-10	7.12e-13	9.691834	19.162914	3.4363681	SUV39H2	suppressor of variegation 3-9 homolog 2
221928_at	3.07e-10	7.17e-13	-9.690059	19.157202	-4.2434699	ACACB	acetyl-CoA carboxylase beta
235849_at	3.07e-10	7.19e-13	-9.689124	19.154192	-5.0375217	SCARA5	scavenger receptor class A member 5
201221_s_at	3.13e-10	7.45e-13	-9.678419	19.119726	-1.4841766	SNRNP70	small nuclear ribonucleoprotein U1 subunit 70
226303_at	3.30e-10	7.95e-13	-9.658637	19.056001	-2.9023919	PGM5	phosphoglucomutase 5
203214_x_at	3.30e-10	8.15e-13	9.65125	19.032193	4.9511304	CDK1	cyclin dependent kinase 1
208609_s_at	3.30e-10	8.18e-13	-9.650216	19.028859	-4.0651796	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
1564494_s_at	3.33e-10	8.45e-13	9.640191	18.996535	4.9678591	P4HB	prolyl 4-hydroxylase subunit beta
231773_at	3.33e-10	8.48e-13	-9.63922	18.993403	-2.3915325	ANGPTL1	angiopoietin like 1
202954_at	3.34e-10	8.67e-13	9.632561	18.971926	5.0456644	UBE2C	ubiquitin conjugating enzyme E2 C
222608_s_at	3.34e-10	8.73e-13	9.630424	18.965031	4.4879604	ANLN	anillin actin binding protein
223880_x_at	3.55e-10	9.43e-13	9.607138	18.889876	1.8880785	TGIF2-C20orf24///C20orf24	TGIF2-C20orf24 readthrough///chromosome 20 open reading frame 24
205384_at	3.55e-10	9.52e-13	-9.604377	18.880959	-3.6943636	FXYD1	FXYD domain containing ion transport regulator 1
209055_s_at	3.65e-10	9.89e-13	9.592866	18.84378	3.0396887	CDC5L	cell division cycle 5 like
212141_at	3.78e-10	1.04e-12	9.578126	18.796145	3.2854661	MCM4	minichromosome maintenance complex component 4
210733_at	3.81e-10	1.07e-12	9.569622	18.768653	2.1003696	TRAM1	translocation associated membrane protein 1
204768_s_at	3.81e-10	1.07e-12	9.568566	18.765236	3.6925314	FEN1	flap structure-specific endonuclease 1
1556364_at	3.98e-10	1.13e-12	-9.551786	18.710959	-3.3724106	ADAMTS9-AS2	ADAMTS9 antisense RNA 2
218049_s_at	4.03e-10	1.17e-12	9.54261	18.681264	2.570092	MRPL13	mitochondrial ribosomal protein L13
222522_x_at	4.03e-10	1.17e-12	9.541463	18.67755	2.2097499	MRPS10	mitochondrial ribosomal protein S10
231031_at	4.07e-10	1.21e-12	-9.532341	18.648019	-2.1836261	FGF7P3	fibroblast growth factor 7 pseudogene 3
218009_s_at	4.07e-10	1.21e-12	9.531391	18.644941	5.3881484	PRC1	protein regulator of cytokinesis 1
221561_at	4.12e-10	1.24e-12	9.52429	18.621945	3.2310448	SOAT1	sterol O-acyltransferase 1
1561754_at	4.13e-10	1.26e-12	-9.52066	18.610187	-4.5532618		
205034_at	4.14e-10	1.29e-12	9.513015	18.585416	3.7671139	CCNE2	cyclin E2
1562527_at	4.14e-10	1.29e-12	-9.512735	18.584509	-4.1952787	LOC441666	zinc finger protein 91 pseudogene
209773_s_at	4.14e-10	1.30e-12	9.51015	18.576132	6.3095069	RRM2	ribonucleotide reductase regulatory subunit M2
212835_at	4.21e-10	1.35e-12	9.499358	18.541149	2.2725026	FAM175B	family with sequence similarity 175 member B
213741_s_at	4.21e-10	1.37e-12	9.494546	18.525549	2.5892136	KPNA1	karyopherin subunit alpha 1
201043_s_at	4.21e-10	1.38e-12	9.491743	18.51646	2.9164582	ANP32A	acidic nuclear phosphoprotein 32 family member A
243689_s_at	4.21e-10	1.39e-12	-9.490471	18.512335	-4.7745151	FRG1BP	FSHD region gene 1 family member B, pseudogene
228519_x_at	4.21e-10	1.39e-12	-9.489567	18.509402	-2.7925684	CIRBP	cold inducible RNA binding protein
